t_s,current_A,voltage_V,cell_heat_W,soc,cell_temperature_K,coolant_inlet_K,coolant_outlet_K,module_heat_removed_W
4934252.160048066,0.0,3.596836593442335,0.0,0.2999999999999986,323.1461515122019,323.14615200039964,323.14615200039964,0.0
4934344.320096132,0.0,3.596836593442335,0.0,0.2999999999999986,323.1461515122019,323.14615200039964,323.14615200039964,0.0
4934520.0,0.0,3.596836593442335,0.0,0.2999999999999986,323.1461515122019,323.14615200039964,323.14615200039964,0.0
4934521.080000751,0.0,3.596836593442335,0.0,0.2999999999999986,323.1461515122019,323.14615200039964,323.14615200039964,0.0
4934522.160001502,0.0,3.596836593442335,0.0,0.2999999999999986,323.1461515122019,323.14615200039964,323.14615200039964,0.0
4934524.320003004,0.0,3.596836593442335,0.0,0.2999999999999986,323.1461515122019,323.14615200039964,323.14615200039964,0.0
4934528.640006009,0.0,3.596836593442335,0.0,0.2999999999999986,323.1461515122019,323.14615200039964,323.14615200039964,0.0
4934537.280012016,0.0,3.596836593442335,0.0,0.2999999999999986,323.1461515122019,323.14615200039964,323.14615200039964,0.0
4934554.560024033,0.0,3.596836593442335,0.0,0.2999999999999986,323.1461515122019,323.14615200039964,323.14615200039964,0.0
4934589.120048067,0.0,3.596836593442335,0.0,0.2999999999999986,323.1461515122019,323.14615200039964,323.14615200039964,0.0
4934658.240096132,0.0,3.596836593442335,0.0,0.2999999999999986,323.1461515122019,323.14615200039964,323.14615200039964,0.0
4934796.480192265,0.0,3.5968365934423354,0.0,0.2999999999999986,323.1461515122019,323.14615200039964,323.14615200039964,0.0
4934880.0,0.0,3.596836593442336,0.0,0.2999999999999986,323.1461515122019,323.14615200039964,323.14615200039964,0.0
4934880.720000751,0.0,3.596836593442336,0.0,0.2999999999999986,323.1461515122019,323.14615200039964,323.14615200039964,0.0
4934881.440001502,0.0,3.596836593442336,0.0,0.2999999999999986,323.1461515122019,323.14615200039964,323.14615200039964,0.0
4934882.880003004,0.0,3.596836593442336,0.0,0.2999999999999986,323.1461515122019,323.14615200039964,323.14615200039964,0.0
